ds,holiday
2017-01-01,New Year's Day
2017-01-27,Chinese New Year Holiday
2017-01-28,Chinese New Year Holiday
2017-01-29,Chinese New Year Holiday
2017-01-30,Chinese New Year Holiday
2017-01-31,Chinese New Year Holiday
2017-02-01,Chinese New Year Holiday
2017-02-28,228 Peace Memorial Day
2017-04-01,Spring Break
2017-04-02,Spring Break
2017-04-03,Spring Break
2017-04-04,Spring Break
2017-05-01,Labour Day
2017-05-30,Dragon Boat Festival
2017-10-04,Mid-Autumn Festival
2017-10-10,ROC National Day
2017-12-31,Republic Day Holiday
2018-01-01,New Year's Day
2018-02-15,Chinese New Year Holiday
2018-02-16,Chinese New Year Holiday
2018-02-17,Chinese New Year Holiday
2018-02-18,Chinese New Year Holiday
2018-02-19,Chinese New Year Holiday
2018-02-20,Chinese New Year Holiday
2018-02-28,228 Peace Memorial Day
2018-04-04,Spring Break 3
2018-04-05,Spring Break 4
2018-04-06,Spring Break 5
2018-04-07,Spring Break 6
2018-04-08,Spring Break 7
2018-05-01,Labour Day
2018-06-18,Dragon Boat Festival
2018-09-24,Mid-Autumn Festival
2018-10-10,ROC National Day
2018-12-31,Republic Day Holiday
2019-01-01,New Year's Day
2019-02-04,Chinese New Year Holiday
2019-02-05,Chinese New Year Holiday
2019-02-06,Chinese New Year Holiday
2019-02-07,Chinese New Year Holiday
2019-02-08,Chinese New Year Holiday
2019-02-28,228 Peace Memorial Day
2019-04-04,Spring Break 4
2019-04-05,Spring Break 5
2019-04-06,Spring Break 6
2019-04-07,Spring Break 7
